zip,total,grand_total,perc
21640,15,20328513.18,7.37879837407764e-05
21641,88,20328513.18,0.000432889504612555
21643,3808.88,20328513.18,0.0187366383673712
21645,2012.83,20328513.18,0.00990151115419647
21647,3788.28,20328513.18,0.0186353028697006
21649,241.5,20328513.18,0.0011879865382265
21650,2846,20328513.18,0.0140000401150833
21651,1921,20328513.18,0.00944978111773544
21652,1204.36,20328513.18,0.0059244864065361
21653,16,20328513.18,7.87071826568282e-05
21654,55050.57,20328513.18,0.270804704272032
21655,1154,20328513.18,0.00567675554912373
21657,2191.5,20328513.18,0.0107804244245274
21658,6788.15,20328513.18,0.0333922601219968
21660,3022,20328513.18,0.0148658191243084
21661,4998.62,20328513.18,0.0245892060857547
21662,38539.58,20328513.18,0.18958386016109
21663,36987.95,20328513.18,0.181951083546977
21664,35,20328513.18,0.000172171962061812
21665,1187,20328513.18,0.00583908911335344
21666,19029.29,20328513.18,0.0936088627412346
21667,2544.34,20328513.18,0.0125161145700671
21668,791.3,20328513.18,0.00389256210227176
21669,1660.5,20328513.18,0.00816832980010395
21671,3601.3,20328513.18,0.0177155110563772
21672,229,20328513.18,0.00112649655177585
21673,2351.5,20328513.18,0.0115674962510957
21676,1101,20328513.18,0.00541603800657299
21677,111.5,20328513.18,0.000548490679139772
21678,2775.46,20328513.18,0.013653039823545
21679,257,20328513.18,0.0012642341214253
21701,104139.09,20328513.18,0.512280898646617
21702,59244.57,20328513.18,0.291435824525953
21703,28041.77,20328513.18,0.137943044588173
21704,22291.88,20328513.18,0.109658191932756
21705,1584.5,20328513.18,0.00779447068248402
21710,12793.66,20328513.18,0.0629345584043348
21711,38.5,20328513.18,0.000189389158267993
21713,5475.23,20328513.18,0.0269337454811341
21714,1572.5,20328513.18,0.0077354402954914
21715,965,20328513.18,0.00474702695398995
21716,5642.74,20328513.18,0.0277577604915619
21717,732.5,20328513.18,0.00360331320600792
21718,3694,20328513.18,0.0181715207958952
21719,25,20328513.18,0.000122979972901294
21720,60,20328513.18,0.000295151934963106
21722,851.5,20328513.18,0.00418869787701808
21723,367.5,20328513.18,0.00180780560164902
21727,4511.63,20328513.18,0.0221936054056266
21730,0,20328513.18,0
21733,287,20328513.18,0.00141181008890686
21734,133,20328513.18,0.000654253455834884
21737,7322.46,20328513.18,0.0360206372948324
21738,15037.92,20328513.18,0.0739745197636731
21740,19179.42,20328513.18,0.0943473820745015
21741,640,20328513.18,0.00314828730627313
21742,32889.41,20328513.18,0.161789550021582
21743,30,20328513.18,0.000147575967481553
21750,14904.93,20328513.18,0.0733203154998274
21753,216.5,20328513.18,0.00106500656532521
21754,19918.18,20328513.18,0.0979814894657239
21755,8883.94,20328513.18,0.0437018680182689
21756,9968.27,20328513.18,0.0490359029789113
21757,875.7,20328513.18,0.00430774249078653
21758,7459.4,20328513.18,0.0366942723943965
21762,740,20328513.18,0.0036402071978783
21765,675.3,20328513.18,0.00332193502800976
21767,302,20328513.18,0.00148559807264763
21768,42.5,20328513.18,0.0002090659539322
21769,18807.57,20328513.18,0.0925181779575676
21770,7734.59,20328513.18,0.0380479867441048
21771,27485.39,20328513.18,0.13520610069526
21773,7998.66,20328513.18,0.0393469996018666
21774,14034.81,20328513.18,0.0690400221389924
21775,110,20328513.18,0.000541111880765694
21776,4971.74,20328513.18,0.0244569780188912
21777,2415.7,20328513.18,0.0118833088215062
21778,581.5,20328513.18,0.0028605141696841
21779,4644.86,20328513.18,0.0228489902772122
21780,1868,20328513.18,0.00918906357518469
21781,105,20328513.18,0.000516515886185435
21782,2529.42,20328513.18,0.0124427201222397
21783,8533.64,20328513.18,0.041978672637976
21784,75000.46,20328513.18,0.368942181535384
21787,2933.7,20328513.18,0.0144314538600211
21788,23259.35,20328513.18,0.114417369308069
21791,5826.79,20328513.18,0.0286631390520612
21792,185,20328513.18,0.000910051799469576
21793,19038.67,20328513.18,0.0936550048270672
21794,5176.07,20328513.18,0.025462117933408
21795,4091.77,20328513.18,0.0201282305487331
21797,34859.72,20328513.18,0.171481896837868
21798,3328.34,20328513.18,0.0163727665202517
21801,24053.25,20328513.18,0.118322721327522
21802,438.22,20328513.18,0.0021556913489922
21804,29030.13,20328513.18,0.142804984028842
21806,30,20328513.18,0.000147575967481553
21811,58201.62,20328513.18,0.286305346016457
21812,12.37,20328513.18,6.08504905915603e-05
21813,3459.72,20328513.18,0.0170190508738426
21814,601.82,20328513.18,0.00296047229165827
21816,864,20328513.18,0.00425018786346872
21817,928.54,20328513.18,0.0045676729615107
21821,800.42,20328513.18,0.00393742519638615
21822,1130.89,20328513.18,0.00556307286217378
21824,213,20328513.18,0.00104778936911903
21826,1614.72,20328513.18,0.0079431288737271
